Date,State,Region,Confirmed,Deaths,Recovered
4/29/20,,Pakistan,15525,343,3425
4/29/20,,Panama,6378,178,527
4/29/20,,Papua New Guinea,8,0,0
4/29/20,,Paraguay,239,9,102
4/29/20,,Peru,33931,943,10037
4/29/20,,Philippines,8212,558,1023
4/29/20,,Poland,12640,624,3025
4/29/20,,Portugal,24505,973,1470
4/29/20,,Qatar,12564,10,1243
4/29/20,,Romania,11978,693,3569
4/29/20,,Russia,99399,972,10286
4/29/20,,Rwanda,225,0,98
4/29/20,,Saint Kitts and Nevis,15,0,4
4/29/20,,Saint Lucia,17,0,15
4/29/20,,Saint Vincent and the Grenadines,16,0,8
4/29/20,,San Marino,563,41,69
4/29/20,,Sao Tome and Principe,8,0,4
4/29/20,,Saudi Arabia,21402,157,2953
4/29/20,,Senegal,882,9,315
4/29/20,,Serbia,6630,125,870
4/29/20,,Seychelles,11,0,6
4/29/20,,Sierra Leone,104,4,12
4/29/20,,Singapore,15641,14,1188
4/29/20,,Slovakia,1391,22,484
4/29/20,,Slovenia,1418,89,230
4/29/20,,Somalia,582,28,20
4/29/20,,South Africa,5350,103,2073
4/29/20,,South Korea,10765,247,9059
4/29/20,,South Sudan,34,0,0
4/29/20,,Spain,236899,24275,132929
4/29/20,,Sri Lanka,649,7,136
4/29/20,,Sudan,375,28,32
4/29/20,,Suriname,10,1,8
4/29/20,,Sweden,20302,2462,1005
4/29/20,,Switzerland,29407,1716,22600
4/29/20,,Syria,43,3,21
4/29/20,,Taiwan,429,6,311
4/29/20,,Tanzania,480,16,167
4/29/20,,Thailand,2947,54,2665
4/29/20,,Timor-Leste,24,0,6
4/29/20,,Togo,109,7,64
4/29/20,,Trinidad and Tobago,116,8,71
4/29/20,,Tunisia,980,40,294
4/29/20,,Turkey,117589,3081,44040
4/29/20,,UK,165221,26097,0
4/29/20,,Uganda,81,0,52
4/29/20,,Ukraine,9866,250,1103
4/29/20,,United Arab Emirates,11929,98,2329
4/29/20,,Uruguay,630,15,412
4/29/20,,Uzbekistan,2002,9,1096
4/29/20,,Venezuela,331,10,142
4/29/20,,Vietnam,270,0,222
4/29/20,,West Bank and Gaza,344,2,71
4/29/20,,Western Sahara,6,0,5
4/29/20,,Yemen,6,0,1
4/29/20,,Zambia,97,3,54
4/29/20,,Zimbabwe,32,4,5
4/29/20,Alabama,US,6912,256,0
4/29/20,Alaska,US,355,9,0
4/29/20,Alberta,Canada,5165,87,0
4/29/20,Anguilla,UK,3,0,3
4/29/20,Anhui,Mainland China,991,6,985
4/29/20,Arizona,US,7209,308,0
4/29/20,Arkansas,US,3193,57,0
4/29/20,Aruba,Netherlands,100,2,73
4/29/20,Australian Capital Territory,Australia,106,3,101
4/29/20,Beijing,Mainland China,593,9,542
4/29/20,Bermuda,UK,111,6,48
4/29/20,"Bonaire, Sint Eustatius and Saba",Netherlands,5,0,0
4/29/20,British Columbia,Canada,2087,109,0
4/29/20,British Virgin Islands,UK,6,1,3
4/29/20,California,US,48747,1946,0
4/29/20,Cayman Islands,UK,73,1,10
4/29/20,Channel Islands,UK,537,38,386
4/29/20,Chongqing,Mainland China,579,6,573
4/29/20,Colorado,US,14758,766,0
4/29/20,Connecticut,US,26767,2169,0
4/29/20,Curacao,Netherlands,16,1,13
4/29/20,Delaware,US,4655,144,0
4/29/20,Diamond Princess cruise ship,Canada,0,1,0
4/29/20,Diamond Princess cruise ship,US,49,0,0
4/29/20,District of Columbia,US,4106,205,0
4/29/20,Falkland Islands (Malvinas),UK,13,0,11
4/29/20,Faroe Islands,Denmark,187,0,181
4/29/20,Florida,US,33193,1218,0
4/29/20,French Guiana,France,125,1,93
4/29/20,French Polynesia,France,58,0,50
4/29/20,Fujian,Mainland China,355,1,353
4/29/20,Gansu,Mainland China,139,2,137
4/29/20,Georgia,US,25775,1101,0
4/29/20,Gibraltar,UK,141,0,131
4/29/20,Grand Princess,Canada,13,0,0
4/29/20,Grand Princess,US,103,3,0
4/29/20,Greenland,Denmark,11,0,11
4/29/20,Guadeloupe,France,149,12,82
4/29/20,Guam,US,141,5,0
4/29/20,Guangdong,Mainland China,1588,8,1557
4/29/20,Guangxi,Mainland China,254,2,252
4/29/20,Guizhou,Mainland China,147,2,145
4/29/20,Hainan,Mainland China,168,6,162
4/29/20,Hawaii,US,613,16,0
4/29/20,Hebei,Mainland China,328,6,318
4/29/20,Heilongjiang,Mainland China,939,13,587
4/29/20,Henan,Mainland China,1276,22,1254
4/29/20,Hong Kong,Hong Kong,1037,4,830
4/29/20,Hubei,Mainland China,68128,4512,63616
4/29/20,Hunan,Mainland China,1019,4,1015
4/29/20,Idaho,US,1952,60,0
4/29/20,Illinois,US,50358,2215,0
4/29/20,Indiana,US,17182,964,0
4/29/20,Inner Mongolia,Mainland China,200,1,150
4/29/20,Iowa,US,6843,148,0
4/29/20,Isle of Man,UK,313,21,258
4/29/20,Jiangsu,Mainland China,653,0,648
4/29/20,Jiangxi,Mainland China,937,1,936
4/29/20,Jilin,Mainland China,111,1,99
4/29/20,Kansas,US,3839,134,0
4/29/20,Kentucky,US,4537,234,0
4/29/20,Liaoning,Mainland China,146,2,143
4/29/20,Louisiana,US,27660,1845,0
4/29/20,Macau,Macau,45,0,34
4/29/20,Maine,US,1056,52,0
4/29/20,Manitoba,Canada,275,6,0
4/29/20,Martinique,France,175,14,83
4/29/20,Maryland,US,20849,1078,0
4/29/20,Massachusetts,US,60265,3405,0
4/29/20,Mayotte,France,460,4,235
4/29/20,Michigan,US,40399,3670,0
4/29/20,Minnesota,US,4644,319,0
4/29/20,Mississippi,US,6569,250,0
4/29/20,Missouri,US,7660,338,0
4/29/20,Montana,US,451,16,0
4/29/20,Montserrat,UK,11,1,2
4/29/20,Nebraska,US,3851,56,0
4/29/20,Nevada,US,4934,230,0
4/29/20,New Brunswick,Canada,118,0,0
4/29/20,New Caledonia,France,18,0,17
4/29/20,New Hampshire,US,2058,60,0
4/29/20,New Jersey,US,116365,6771,0
4/29/20,New Mexico,US,3213,112,0
4/29/20,New South Wales,Australia,3016,40,2284
4/29/20,New York,US,299691,23477,0
4/29/20,Newfoundland and Labrador,Canada,258,3,0
4/29/20,Ningxia,Mainland China,75,0,75
4/29/20,North Carolina,US,10180,382,0
4/29/20,North Dakota,US,1033,19,0
4/29/20,Northern Mariana Islands,US,14,2,0
4/29/20,Northern Territory,Australia,28,0,25
4/29/20,Northwest Territories,Canada,5,0,0
4/29/20,Nova Scotia,Canada,935,28,0
4/29/20,Ohio,US,17303,937,0
4/29/20,Oklahoma,US,3473,214,0
4/29/20,Ontario,Canada,16978,1153,0
4/29/20,Oregon,US,2446,101,0
4/29/20,Pennsylvania,US,46327,2373,0
4/29/20,Prince Edward Island,Canada,27,0,0
4/29/20,Puerto Rico,US,1433,86,0
4/29/20,Qinghai,Mainland China,18,0,18
4/29/20,Quebec,Canada,26610,1762,0
4/29/20,Queensland,Australia,1033,6,943
4/29/20,Recovered,Canada,0,0,20327
4/29/20,Recovered,US,0,0,120720
4/29/20,Reunion,France,420,0,300
4/29/20,Rhode Island,US,8247,251,0
4/29/20,Saint Barthelemy,France,6,0,6
4/29/20,Saint Pierre and Miquelon,France,1,0,0
4/29/20,Saskatchewan,Canada,383,6,0
4/29/20,Shaanxi,Mainland China,306,3,253
4/29/20,Shandong,Mainland China,787,7,772
4/29/20,Shanghai,Mainland China,647,7,597
4/29/20,Shanxi,Mainland China,197,0,164
4/29/20,Sichuan,Mainland China,561,3,558
4/29/20,Sint Maarten,Netherlands,75,13,33
4/29/20,South Australia,Australia,438,4,420
4/29/20,South Carolina,US,5882,231,0
4/29/20,South Dakota,US,2373,13,0
4/29/20,St Martin,France,38,3,24
4/29/20,Tasmania,Australia,219,12,144
4/29/20,Tennessee,US,10366,195,0
4/29/20,Texas,US,27257,754,0
4/29/20,Tianjin,Mainland China,190,3,183
4/29/20,Tibet,Mainland China,1,0,1
4/29/20,Turks and Caicos Islands,UK,12,1,5
4/29/20,Utah,US,4497,45,0
4/29/20,Vermont,US,862,47,0
4/29/20,Victoria,Australia,1361,18,1291
4/29/20,Virgin Islands,US,57,4,0
4/29/20,Virginia,US,14962,522,0
4/29/20,Washington,US,14070,801,0
4/29/20,West Virginia,US,1110,38,0
4/29/20,Western Australia,Australia,551,8,507
4/29/20,Wisconsin,US,6520,308,0
4/29/20,Wyoming,US,545,7,0
4/29/20,Xinjiang,Mainland China,76,3,73
4/29/20,Yukon,Canada,11,0,0
4/29/20,Yunnan,Mainland China,185,2,181
4/29/20,Zhejiang,Mainland China,1268,1,1263
